category,style,color,waist_type,thickness,type_version,length,matching_id,url,model,id
裤装,牛仔裤,蓝色,正常,中,修身,长裤,56215,http://item.yohobuy.com/product/pro_254697_331539/LEE101707101ZXiuShenBiaoZhunZhongYaoZhuiXingNiuZaiKuL15707Y90899.html,窄脚裤,57f7c9f7f90a8310f062a7e9
裤装,休闲裤,灰色,正常,中,正常,长裤,56227,http://item.yohobuy.com/product/pro_536302_665762/IZZUEIZXPTN6705F67MENPANTS.html,束口裤,57f7c9f7f90a8310f062a7ea
裤装,短裤,,正常,薄,正常,短裤,56313,http://item.yohobuy.com/product/pro_530388_658756/SK8NATSU%20nanshiduodaigongzhuangduanku%20SSWPAM0006BKS16.html,工装短裤,57f7c9f8f90a8310f062a7ec
裤装,休闲裤,黑色,,,,长裤,55651,http://item.yohobuy.com/product/pro_549630_681248/VIISHOWKC1066301XiuXianChangKu.html,,57f7c9f9f90a8310f062a7ef
裤装,短裤,,,,,,55627,http://item.yohobuy.com/product/pro_181681_246105/SRBT15003A.html,,57f7c9faf90a8310f062a7f6
裤装,牛仔裤,蓝色,正常,中,正常,长裤,55789,http://item.yohobuy.com/product/pro_387881_493647/CHEAPMONDAYNiuZaiKu0327222900.html,,57f7c9fbf90a8310f062a7f7
裤装,休闲裤,,正常,薄,正常,,55825,http://item.yohobuy.com/product/pro_413213_524299/TEENTEAMXieWenBaFenXiuXianKuTN16F050.html,窄脚裤,57f7c9fcf90a8310f062a7fb
裤装,短裤,,正常,薄,正常,短裤,55565,http://item.yohobuy.com/product/pro_427133_540747/IZZUEDuanKuIZXSPR6306U66.html,,57f7c9fcf90a8310f062a7f9
裤装,短裤,灰色,正常,薄,正常,短裤,55859,http://item.yohobuy.com/product/pro_414341_525585/ROARINGWILDGINNEZUMICSTHuaHuiZhenZhiDuanKu161017.html,,57f7c9fcf90a8310f062a7fc
裤装,休闲裤,黑色,正常,中,正常,长裤,55649,http://item.yohobuy.com/product/pro_462934_581046/KISSFUNKHYPERBASICLuoWenShuJiaoJOGGERPANTSHeiSeKuanKF16SSHB0061.html,束口裤,57f7c9fef90a8310f062a801
裤装,休闲裤,灰色,正常,中,宽松,长裤,55765,http://item.yohobuy.com/product/pro_549700_681318/VIISHOWK10165123XiuXianChangKu.html,,57f7c9fdf90a8310f062a7fe
裤装,牛仔裤,蓝色,正常,薄,宽松,长裤,55409,http://item.yohobuy.com/product/pro_524246_651988/MIXSEVENYuanSeWeiLaZhiTongNiuZaiKuMJK16.html,喇叭裤,57f7c9fff90a8310f062a803
裤装,短裤,黑色,正常,薄,正常,短裤,55363,http://item.yohobuy.com/product/pro_479472_600876/MADNESSWATERPROOFSHORTSSPNYLD001_BLK.html,,57f7c9fff90a8310f062a802
裤装,西裤,黑色,正常,,正常,9分裤,55399,http://item.yohobuy.com/product/pro_546282_677348/ROARINGWILDJiuFenShuangZheKuanSongKuoTuiXiKuYing16SSPAJAMAWPT161033.html,,57f7c9fff90a8310f062a805
裤装,短裤,蓝色,正常,薄,正常,短裤,55413,http://item.yohobuy.com/product/pro_495118_619602/CREAMSODADuanKuMCSPT005ShenLanSe.html,沙滩裤,57f7c9fff90a8310f062a806
裤装,休闲裤,黑色,正常,中,宽松,长裤,55507,http://item.yohobuy.com/product/pro_472160_591562/ANTIMATTERWWIDEPANTSXiuXianKuAT17BT02.html,,57f7ca01f90a8310f062a80c
裤装,牛仔裤,蓝色,正常,中,正常,长裤,55373,http://item.yohobuy.com/product/pro_548036_679486/HASOQianLanSeMoBaiShuiXiNiuZaiLianTiKu3J11711.html,背带裤,57f7ca00f90a8310f062a809
裤装,短裤,棕色,正常,中,正常,短裤,55531,http://item.yohobuy.com/product/pro_361373_460389/EIGHTGUYSXiuXianDuanKuEGA602SR56KAX.html,工装短裤,57f7ca01f90a8310f062a80e
裤装,短裤,黑色,正常,薄,宽松,短裤,55405,http://item.yohobuy.com/product/pro_531258_660002/PHANTACIDuanKuPH16JP13K.html,,57f7ca01f90a8310f062a813
裤装,休闲裤,黑色,正常,中,正常,长裤,55301,http://item.yohobuy.com/product/pro_499264_624030/PANCOATZhenZhiChangKuPOPEYESPPAPT163315M.html,束口裤,57f7ca01f90a8310f062a811
裤装,短裤,黑色,正常,中,正常,短裤,55305,http://item.yohobuy.com/product/pro_374067_476739/TRENDIANOSuoZhiDuanKu3HI2063900090.html,,57f7ca02f90a8310f062a817
裤装,短裤,,正常,中,正常,短裤,56221,http://item.yohobuy.com/product/pro_512252_638538/BTWBK1611BTW16SSBLACKCOTTONSHORTSHeiPiaoDaiDiDangDuanKu.html,,57f7ca03f90a8310f062a81c
裤装,牛仔裤,灰色,正常,中,正常,长裤,55551,http://item.yohobuy.com/product/pro_553898_686042/ALPINESTARSJiCheFengNiuZaiKu101422000.html,,57f7ca04f90a8310f062a81f
裤装,休闲裤,黑色,正常,中,修身,长裤,55581,http://item.yohobuy.com/product/pro_554760_686918/Lilbetter%20koudaizhuangsexiuxianzhangku%2091639730heise.html,,57f7ca05f90a8310f062a820
裤装,短裤,黄色,正常,薄,正常,短裤,55239,http://item.yohobuy.com/product/pro_373593_476265/SPLITMANSPMA602SR38KAXXiuXianDuanKu.html,工装短裤,57f7ca06f90a8310f062a822
裤装,休闲裤,黑色,,薄,正常,9分裤,55249,http://item.yohobuy.com/product/pro_374021_476693/TRENDIANOSuoZhiChangKu3HC2063910090.html,,57f7ca07f90a8310f062a829
裤装,短裤,,正常,薄,正常,短裤,55231,http://item.yohobuy.com/product/pro_426993_540587/IZZUEDuanKuIZXSPL6322U66.html,,57f7ca07f90a8310f062a826
裤装,短裤,黑色,正常,薄,正常,短裤,55235,http://item.yohobuy.com/product/pro_365431_464753/EVISU1ESGMM6ST584XXNanShiZhenZhiDuanKu.html,,57f7ca07f90a8310f062a828
裤装,短裤,绿色,正常,中,正常,短裤,55241,http://item.yohobuy.com/product/pro_409683_520177/FAIRWHALEJEANSDuanKuLei7162638074067.html,,57f7ca08f90a8310f062a82b
裤装,短裤,白色,正常,薄,正常,短裤,55229,http://item.yohobuy.com/product/pro_347745_445259/GSTARRAWNiuZaiKuD0147175926227.html,,57f7ca08f90a8310f062a830
裤装,短裤,黑色,正常,薄,正常,短裤,55293,http://item.yohobuy.com/product/pro_475674_596404/HARDYHARDYHH16SUBMKT2001HeiSeDuanKu.html,,57f7ca08f90a8310f062a82e
裤装,短裤,灰色,正常,薄,正常,短裤,55341,http://item.yohobuy.com/product/pro_479474_600878/MADNESSWATERPROOFSHORTSSPNYLD001_DG.html,,57f7ca08f90a8310f062a832
裤装,短裤,黑色,正常,薄,正常,短裤,55341,http://item.yohobuy.com/product/pro_479466_600870/MADNESSARMYSHORTPANTSPMILD002_BLK.html,工装短裤,57f7ca09f90a8310f062a834
裤装,短裤,蓝色,,,,,55223,http://item.yohobuy.com/product/pro_264431_342357/CHEAPMONDAYNiuZaiKu0311638.html,,57f7ca09f90a8310f062a839
裤装,短裤,棕色,正常,薄,正常,短裤,55217,http://item.yohobuy.com/product/pro_478604_599652/LIFTOFFShengKongXiuXianGongZhuangDuanKu160802.html,工装短裤,57f7ca0bf90a8310f062a842
裤装,牛仔裤,蓝色,,厚,正常,长裤,55407,http://item.yohobuy.com/product/pro_285275_367075/CHEAPMONDAYNvZhuangNiuZaiKu0113108.html,,57f7ca0cf90a8310f062a847
裤装,短裤,,正常,中,正常,短裤,54999,http://item.yohobuy.com/product/pro_546256_677322/HeiTouBLACKHEADBLACKHEADLIGHTNINGBEARLianMingHeZuoXianLiangZhongXingYinHuaXiuXianDuanKuFS103002.html,,57f7ca0df90a8310f062a848
裤装,短裤,黄色,正常,薄,正常,短裤,55039,http://item.yohobuy.com/product/pro_543668_674544/LEEDuanKuMENSHORTSINSEAM8L15217Y491LJHuangSe.html,工装短裤,57f7ca0ef90a8310f062a84b
裤装,牛仔裤,蓝色,正常,中,正常,长裤,55369,http://item.yohobuy.com/product/pro_427279_540945/HUFPT61006DESTROYED.html,,57f7ca0df90a8310f062a849
裤装,短裤,,正常,薄,正常,短裤,55091,http://item.yohobuy.com/product/pro_468820_587882/XLARGE1161706DuanKu.html,,57f7ca0ef90a8310f062a84c
裤装,休闲裤,黑色,,,,,55095,http://item.yohobuy.com/product/pro_533010_662028/PUBLISHChangKuP1601064Hei.html,,57f7ca0ef90a8310f062a84e
裤装,短裤,,正常,薄,正常,短裤,55085,http://item.yohobuy.com/product/pro_530838_659254/DIAMONDSUPPLYCODuanKuB16DMBC04.html,沙滩裤,57f7ca0ff90a8310f062a851
裤装,休闲裤,黑色,正常,中,正常,长裤,55081,http://item.yohobuy.com/product/pro_541688_671894/VALKOMMZhiTongXiuXianKu14PTS083HeiSe.html,,57f7ca10f90a8310f062a855
裤装,休闲裤,蓝色,正常,中,正常,长裤,55087,http://item.yohobuy.com/product/pro_431945_545977/DECOSTERMEN8M1610504KuZi.html,,57f7ca10f90a8310f062a857
裤装,短裤,,正常,薄,正常,短裤,55103,http://item.yohobuy.com/product/pro_447422_563168/5CMDuanKu5CXSPB6754U66.html,,57f7ca10f90a8310f062a859
裤装,牛仔裤,黑色,正常,中,修身,长裤,54989,http://item.yohobuy.com/product/pro_214201_284667/STAGENiuZaiKuA5315400689.html,,57f7ca10f90a8310f062a85a
裤装,短裤,,,,,,54977,http://item.yohobuy.com/product/pro_532998_662016/PUBLISHDuanKuP1601004Hei.html,,57f7ca11f90a8310f062a860
裤装,休闲裤,黑色,正常,中,正常,长裤,54959,http://item.yohobuy.com/product/pro_543652_674528/LILBETTERShiZiXiuHuaXiuXianKu91639670.html,,57f7ca12f90a8310f062a862
裤装,短裤,,正常,薄,正常,短裤,55635,http://item.yohobuy.com/product/pro_414763_526071/VANSDEWITTMONOGRAMNanDuanKuVN0001XKJFY.html,,57f7ca13f90a8310f062a86a
裤装,短裤,蓝色,正常,中,正常,短裤,55139,http://item.yohobuy.com/product/pro_502518_627674/ACCENTELEVENKuanSongDuanKuAK171LanSe.html,工装短裤,57f7ca12f90a8310f062a866
裤装,休闲裤,棕色,正常,中,正常,长裤,55635,http://item.yohobuy.com/product/pro_535460_664780/VANSVN000V6C4QF1EXCERPTCHINOPEGGED.html,束口裤,57f7ca14f90a8310f062a86d
裤装,短裤,,正常,中,正常,短裤,55079,http://item.yohobuy.com/product/pro_435999_550217/SATURDAYSSURFNYCDuanKuM11621TM03KaQiSe.html,工装短裤,57f7ca13f90a8310f062a867
裤装,牛仔裤,蓝色,正常,中,正常,9分裤,54791,http://item.yohobuy.com/product/pro_534922_664178/G7ZuoJiuHuaSeShuiXiDanNingJiuFenNiuZaiKuNZK011202050B.html,直筒裤,57f7ca15f90a8310f062a86f
裤装,短裤,,正常,薄,正常,短裤,54813,http://item.yohobuy.com/product/pro_423561_536195/IZZUEDuanKuIZXSPL6315S66.html,,57f7ca16f90a8310f062a875
裤装,短裤,绿色,正常,中,正常,短裤,54745,http://item.yohobuy.com/product/pro_360301_459223/OVKLABXiuXianDuanKuOVKA602SR63AGX.html,工装短裤,57f7ca16f90a8310f062a873
裤装,短裤,,正常,中,宽松,短裤,54815,http://item.yohobuy.com/product/pro_542324_672618/DANGEROUSPEOPLELaLianZhuangShiXiuXianDuanKuJD1600038.html,,57f7ca16f90a8310f062a876
裤装,短裤,黑色,正常,中,正常,短裤,54809,http://item.yohobuy.com/product/pro_513838_640332/VALKOMMShiShangChouShengDuanKu16SHT078HeiSe.html,工装短裤,57f7ca17f90a8310f062a87b
裤装,短裤,灰色,正常,薄,正常,短裤,54799,http://item.yohobuy.com/product/pro_479484_600888/MADNESSMDNSSPORTSHORTSPSPTSD003_GRY.html,,57f7ca17f90a8310f062a87d
裤装,短裤,棕色,正常,薄,正常,短裤,54731,http://item.yohobuy.com/product/pro_374859_477775/LIFEAFTERLIFEXiuXianDuanKuLALA602SR155.html,,57f7ca19f90a8310f062a883
裤装,短裤,,正常,薄,正常,短裤,54911,http://item.yohobuy.com/product/pro_423935_536673/5CMDuanKu5CXSPJ6552U66.html,,57f7ca18f90a8310f062a881
裤装,休闲裤,,正常,薄,正常,长裤,54911,http://item.yohobuy.com/product/pro_530350_658718/SK8NATSU%20nanshixietiaobuzhangku%20SSWPAM0004WHS16.html,工装裤,57f7ca17f90a8310f062a87f
裤装,牛仔裤,蓝色,正常,中,正常,长裤,57725,http://item.yohobuy.com/product/pro_492992_616910/LIFEAFTERLIFENiuZaiChangKuLALA603JN172.html,,57f7ca1af90a8310f062a889
裤装,休闲裤,黑色,正常,中,修身,长裤,57641,http://item.yohobuy.com/product/pro_587344_725796/lilbetter%2091639693%20anheixiuxianxiku.html,,57f7ca19f90a8310f062a886
裤装,牛仔裤,蓝色,正常,薄,正常,9分裤,57453,http://item.yohobuy.com/product/pro_479884_601320/HASO2016XinKuanNanShiBaiSeQianDouSheJiKuanSongXiuXianDuanKu3J21640.html,,57f7ca19f90a8310f062a887
裤装,短裤,,正常,薄,正常,短裤,54563,http://item.yohobuy.com/product/pro_424051_536809/5CMDuanKu5CXSPF6756U66.html,,57f7ca1bf90a8310f062a88a
裤装,短裤,黑色,正常,薄,正常,短裤,54841,http://item.yohobuy.com/product/pro_423937_536675/5CMDuanKu5CXSPJ6553U66.html,,57f7ca1bf90a8310f062a88c
裤装,短裤,,正常,薄,正常,超短,54581,http://item.yohobuy.com/product/pro_423933_536671/5CMDuanKu5CXSPF6309U66.html,,57f7ca1cf90a8310f062a88d
裤装,牛仔裤,蓝色,正常,中,正常,长裤,54873,http://item.yohobuy.com/product/pro_365551_464873/EVISU1ESHTM6JE21517NanShiNiuZaiKu.html,,57f7ca1cf90a8310f062a894
裤装,短裤,,正常,中,正常,短裤,54663,http://item.yohobuy.com/product/pro_455830_573094/PANCOATZhenZhiDuanKuPPASP162455M.html,,57f7ca1cf90a8310f062a88f
裤装,短裤,,正常,中,正常,短裤,54663,http://item.yohobuy.com/product/pro_477228_598088/PANCOATZhenZhiDuanKuPPASP162276M.html,,57f7ca1cf90a8310f062a892
裤装,短裤,蓝色,正常,薄,正常,短裤,54667,http://item.yohobuy.com/product/pro_502926_628146/MIXSEVENDengXinRongDuanKuM6K4C.html,工装短裤,57f7ca1df90a8310f062a899
裤装,短裤,,正常,中,正常,短裤,54317,http://item.yohobuy.com/product/pro_467756_586710/IZZUEARMYLINEMENSHORTSDuanKuIZXSPR6309U66.html,工装短裤,57f7ca1df90a8310f062a898
